title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Gone Fishin' (1997),2.0,3,Broken Arrow (1996),Twister (1996),Twelve Monkeys (1995),Starship Troopers (1997)
Gone with the Wind (1939),3.913978494623656,93,"Devil's Own, The (1997)","Godfather, The (1972)","Wizard of Oz, The (1939)",Mr. Holland's Opus (1995)
"Good Man in Africa, A (1994)",3.0,2,"Clockwork Orange, A (1971)","Graduate, The (1967)",Star Wars (1977),Apocalypse Now (1979)
Good Morning (1971),1.0,1,-,-,-,-
Good Will Hunting (1997),4.36,100,"Sound of Music, The (1965)","Rock, The (1996)",Heat (1995),Babe (1995)
"Good, The Bad and The Ugly, The (1966)",3.8666666666666667,75,Chasing Amy (1997),"Fish Called Wanda, A (1988)","Time to Kill, A (1996)",Broken Arrow (1996)
GoodFellas (1990),3.901639344262295,122,"Game, The (1997)",This Is Spinal Tap (1984),Butch Cassidy and the Sundance Kid (1969),2001: A Space Odyssey (1968)
"Goofy Movie, A (1995)",2.6363636363636362,11,Scream (1996),GoodFellas (1990),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Men in Black (1997)
Gordy (1995),1.0,2,-,-,-,-
Grace of My Heart (1996),3.6666666666666665,6,Starship Troopers (1997),Jurassic Park (1993),Brazil (1985),Sense and Sensibility (1995)
"Graduate, The (1967)",4.228346456692913,127,GoodFellas (1990),Lone Star (1996),Boogie Nights (1997),"Time to Kill, A (1996)"
"Grand Day Out, A (1992)",4.181818181818182,33,In & Out (1997),Quiz Show (1994),"English Patient, The (1996)",Eraser (1996)
"Grass Harp, The (1995)",3.0,3,Courage Under Fire (1996),Murder at 1600 (1997),Mr. Holland's Opus (1995),Air Force One (1997)
Grateful Dead (1995),3.0,1,-,-,-,-
Grease (1978),3.5443037974683542,79,"Game, The (1997)",Starship Troopers (1997),Ransom (1996),"Fugitive, The (1993)"
Grease 2 (1982),1.8333333333333333,12,Forrest Gump (1994),Trainspotting (1996),Field of Dreams (1989),Butch Cassidy and the Sundance Kid (1969)
"Great Day in Harlem, A (1994)",5.0,1,-,-,-,-
"Great Dictator, The (1940)",3.75,20,Twister (1996),"Rock, The (1996)",Beauty and the Beast (1991),Chasing Amy (1997)
"Great Escape, The (1963)",4.048387096774194,62,Apollo 13 (1995),Terminator 2: Judgment Day (1991),Scream (1996),Sleepless in Seattle (1993)
Great Expectations (1998),3.2,15,"People vs. Larry Flynt, The (1996)","Fifth Element, The (1997)",True Lies (1994),Aliens (1986)
"Great Race, The (1965)",3.4,15,To Kill a Mockingbird (1962),Dante's Peak (1997),Phenomenon (1996),"Saint, The (1997)"
"Great White Hype, The (1996)",2.925925925925926,27,Jerry Maguire (1996),Star Trek III: The Search for Spock (1984),Murder at 1600 (1997),Apocalypse Now (1979)
Gridlock'd (1997),3.0,10,"Usual Suspects, The (1995)",Conspiracy Theory (1997),"Sting, The (1973)",Die Hard (1988)
"Grifters, The (1990)",3.519230769230769,52,M*A*S*H (1970),L.A. Confidential (1997),Trainspotting (1996),Seven (Se7en) (1995)
Grosse Fatigue (1994),3.3333333333333335,3,"Hunt for Red October, The (1990)",Star Trek IV: The Voyage Home (1986),Star Trek: The Wrath of Khan (1982),Terminator 2: Judgment Day (1991)
Grosse Pointe Blank (1997),3.7176470588235295,85,"Usual Suspects, The (1995)",To Kill a Mockingbird (1962),"Godfather, The (1972)",Heat (1995)
Groundhog Day (1993),3.7142857142857144,140,"Terminator, The (1984)",Lone Star (1996),Die Hard (1988),Batman (1989)
Grumpier Old Men (1995),2.9863013698630136,73,"Rock, The (1996)",Men in Black (1997),It's a Wonderful Life (1946),"Sound of Music, The (1965)"
Guantanamera (1994),3.0,2,-,-,-,-
Guilty as Sin (1993),2.3333333333333335,3,E.T. the Extra-Terrestrial (1982),Jurassic Park (1993),Mr. Holland's Opus (1995),Indiana Jones and the Last Crusade (1989)
Gumby: The Movie (1995),3.0,4,"Graduate, The (1967)","Rock, The (1996)",Terminator 2: Judgment Day (1991),Phenomenon (1996)
Hackers (1995),2.5789473684210527,19,"Game, The (1997)",In & Out (1997),Sleepless in Seattle (1993),Men in Black (1997)
Half Baked (1998),2.5833333333333335,12,Broken Arrow (1996),Terminator 2: Judgment Day (1991),Volcano (1997),"Birdcage, The (1996)"
Halloween: The Curse of Michael Myers (1995),2.533333333333333,15,"Graduate, The (1967)",Die Hard (1988),Star Wars (1977),Scream (1996)
Hamlet (1996),3.980392156862745,51,Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)",Titanic (1997),It's a Wonderful Life (1946)
Happy Gilmore (1996),3.4,75,Rear Window (1954),"Game, The (1997)",Braveheart (1995),"Saint, The (1997)"
Hard Eight (1996),4.166666666666667,6,"Terminator, The (1984)",Raiders of the Lost Ark (1981),Face/Off (1997),2001: A Space Odyssey (1968)
Hard Rain (1998),2.8666666666666667,15,Jurassic Park (1993),"Princess Bride, The (1987)",Indiana Jones and the Last Crusade (1989),"Empire Strikes Back, The (1980)"
Hard Target (1993),2.619047619047619,21,"English Patient, The (1996)","Truth About Cats & Dogs, The (1996)",Forrest Gump (1994),Brazil (1985)
Harlem (1993),2.5,2,Field of Dreams (1989),Four Weddings and a Funeral (1994),GoodFellas (1990),Return of the Jedi (1983)
Harold and Maude (1971),4.0508474576271185,59,"People vs. Larry Flynt, The (1996)",Gandhi (1982),Lone Star (1996),Get Shorty (1995)
Harriet the Spy (1996),2.7142857142857144,21,"Game, The (1997)",One Flew Over the Cuckoo's Nest (1975),Butch Cassidy and the Sundance Kid (1969),To Kill a Mockingbird (1962)
"Hate (Haine, La) (1995)",3.1818181818181817,11,"Devil's Own, The (1997)",Star Trek IV: The Voyage Home (1986),Aliens (1986),"Game, The (1997)"
"Haunted World of Edward D. Wood Jr., The (1995)",4.0,10,Sleepless in Seattle (1993),Top Gun (1986),Lone Star (1996),"Birdcage, The (1996)"
Head Above Water (1996),3.0,2,-,-,-,-
Hear My Song (1991),3.6,5,Forrest Gump (1994),Jaws (1975),Get Shorty (1995),Casablanca (1942)
Hearts and Minds (1996),4.333333333333333,3,Return of the Jedi (1983),Field of Dreams (1989),Star Wars (1977),Stand by Me (1986)
Heat (1995),3.725,120,Casablanca (1942),"Time to Kill, A (1996)","Rock, The (1996)",Apocalypse Now (1979)
Heathers (1989),3.765957446808511,94,Indiana Jones and the Last Crusade (1989),Brazil (1985),Chasing Amy (1997),Dead Man Walking (1995)
Heaven & Earth (1993),2.3333333333333335,3,Sense and Sensibility (1995),Blade Runner (1982),Butch Cassidy and the Sundance Kid (1969),Casablanca (1942)
Heaven's Prisoners (1996),2.2,15,Dante's Peak (1997),"People vs. Larry Flynt, The (1996)",Mrs. Doubtfire (1993),"Wizard of Oz, The (1939)"
Heavenly Creatures (1994),3.775,40,Trainspotting (1996),Brazil (1985),"Game, The (1997)",Evita (1996)
Heavy (1995),2.25,4,Pulp Fiction (1994),Jaws (1975),Mrs. Doubtfire (1993),Amadeus (1984)
Heavy Metal (1981),3.282051282051282,39,"Shining, The (1980)",Butch Cassidy and the Sundance Kid (1969),"Game, The (1997)",One Flew Over the Cuckoo's Nest (1975)
Heavyweights (1994),1.625,8,GoodFellas (1990),Eraser (1996),"Time to Kill, A (1996)",Scream (1996)
Heidi Fleiss: Hollywood Madam (1995) ,3.0,11,In & Out (1997),Star Trek IV: The Voyage Home (1986),"Saint, The (1997)",Boogie Nights (1997)
Hellraiser: Bloodline (1996),2.0,10,Blade Runner (1982),Terminator 2: Judgment Day (1991),"Princess Bride, The (1987)",Raising Arizona (1987)
Henry V (1989),4.138461538461539,65,Amadeus (1984),Seven (Se7en) (1995),Aliens (1986),Scream (1996)
Herbie Rides Again (1974),2.0,4,Back to the Future (1985),Terminator 2: Judgment Day (1991),Dead Poets Society (1989),Quiz Show (1994)
Hercules (1997),3.3666666666666667,30,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Batman (1989),Heat (1995),Amadeus (1984)
Here Comes Cookie (1935),2.0,1,-,-,-,-
Hideaway (1995),2.6666666666666665,6,"Shining, The (1980)",Apocalypse Now (1979),Quiz Show (1994),Mission: Impossible (1996)
High Noon (1952),4.153846153846154,52,This Is Spinal Tap (1984),Monty Python and the Holy Grail (1974),Volcano (1997),Quiz Show (1994)
High School High (1996),2.6666666666666665,21,Mr. Holland's Opus (1995),"Game, The (1997)",Volcano (1997),Murder at 1600 (1997)
Higher Learning (1995),3.3125,16,"Time to Kill, A (1996)",Men in Black (1997),Gandhi (1982),"Game, The (1997)"
Highlander (1986),3.578125,64,"Time to Kill, A (1996)",In & Out (1997),Dante's Peak (1997),Air Force One (1997)
Highlander III: The Sorcerer (1994),2.0,9,Beauty and the Beast (1991),"Sound of Music, The (1965)",Brazil (1985),Get Shorty (1995)
His Girl Friday (1940),4.0,29,Scream (1996),Star Trek IV: The Voyage Home (1986),Babe (1995),Seven (Se7en) (1995)
Hollow Reed (1996),3.0,1,-,-,-,-
Homage (1995),1.0,1,-,-,-,-
Home Alone (1990),3.136986301369863,73,Conspiracy Theory (1997),Starship Troopers (1997),Titanic (1997),Toy Story (1995)
Home Alone 3 (1997),2.0,8,Mars Attacks! (1996),One Flew Over the Cuckoo's Nest (1975),Jurassic Park (1993),Indiana Jones and the Last Crusade (1989)
Home for the Holidays (1995),3.176470588235294,34,Murder at 1600 (1997),Dante's Peak (1997),Lone Star (1996),It's a Wonderful Life (1946)
Homeward Bound II: Lost in San Francisco (1996),2.9444444444444446,18,In & Out (1997),L.A. Confidential (1997),"Shining, The (1980)","Saint, The (1997)"
Homeward Bound: The Incredible Journey (1993),3.212121212121212,33,In & Out (1997),Starship Troopers (1997),Mrs. Doubtfire (1993),It's a Wonderful Life (1946)
Hoodlum (1997),2.9705882352941178,34,Apollo 13 (1995),Babe (1995),Sleepless in Seattle (1993),Terminator 2: Judgment Day (1991)
Hoop Dreams (1994),4.057971014492754,69,Dante's Peak (1997),"Shining, The (1980)",Volcano (1997),Murder at 1600 (1997)
"Horse Whisperer, The (1998)",2.8,5,"English Patient, The (1996)","Fish Called Wanda, A (1988)",M*A*S*H (1970),Air Force One (1997)
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",4.25,4,"Shawshank Redemption, The (1994)",Field of Dreams (1989),It's a Wonderful Life (1946),Mighty Aphrodite (1995)
Hostile Intentions (1994),1.0,1,-,-,-,-
Hot Shots! Part Deux (1993),2.8,40,It's a Wonderful Life (1946),Groundhog Day (1993),Butch Cassidy and the Sundance Kid (1969),Terminator 2: Judgment Day (1991)
Hotel de Love (1996),2.6666666666666665,3,Mighty Aphrodite (1995),"Rock, The (1996)",Mr. Holland's Opus (1995),Mars Attacks! (1996)
"Hour of the Pig, The (1993)",3.5,8,When Harry Met Sally... (1989),Unforgiven (1992),"Godfather, The (1972)",Volcano (1997)
House Arrest (1996),2.3636363636363638,11,True Lies (1994),"Full Monty, The (1997)",Starship Troopers (1997),Casablanca (1942)
House Party 3 (1994),1.8,5,"Hunt for Red October, The (1990)",Quiz Show (1994),Alien (1979),Apocalypse Now (1979)
"House of Yes, The (1997)",2.909090909090909,11,Mr. Holland's Opus (1995),Trainspotting (1996),Apollo 13 (1995),"Sound of Music, The (1965)"
"House of the Spirits, The (1993)",3.076923076923077,13,Mars Attacks! (1996),Rear Window (1954),"Game, The (1997)",Star Trek III: The Search for Spock (1984)
Houseguest (1994),2.857142857142857,14,Evita (1996),Volcano (1997),In & Out (1997),Starship Troopers (1997)
How to Be a Player (1997),2.8181818181818183,11,Sense and Sensibility (1995),Schindler's List (1993),Mighty Aphrodite (1995),Dead Man Walking (1995)
How to Make an American Quilt (1995),3.3421052631578947,38,Evita (1996),GoodFellas (1990),"Saint, The (1997)",Field of Dreams (1989)
"Howling, The (1981)",3.3684210526315788,19,"Birdcage, The (1996)",Star Trek: The Wrath of Khan (1982),Courage Under Fire (1996),This Is Spinal Tap (1984)
"Hudsucker Proxy, The (1994)",3.5223880597014925,67,"Fifth Element, The (1997)",Willy Wonka and the Chocolate Factory (1971),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),One Flew Over the Cuckoo's Nest (1975)
Hugo Pool (1997),3.4,5,-,-,-,-
"Hunchback of Notre Dame, The (1996)",3.34375,64,"Shining, The (1980)",Starship Troopers (1997),Dante's Peak (1997),Beauty and the Beast (1991)
"Hungarian Fairy Tale, A (1987)",1.0,1,-,-,-,-
"Hunt for Red October, The (1990)",3.8345864661654137,133,Independence Day (ID4) (1996),"Fugitive, The (1993)",Air Force One (1997),Men in Black (1997)
"Hunted, The (1995)",2.0,1,-,-,-,-
Hurricane Streets (1998),2.0,4,"English Patient, The (1996)",Lone Star (1996),Trainspotting (1996),Scream (1996)
Hush (1998),2.0,1,-,-,-,-
I Can't Sleep (J'ai pas sommeil) (1994),2.0,2,Liar Liar (1997),Lone Star (1996),Trainspotting (1996),"Birdcage, The (1996)"
I Don't Want to Talk About It (De eso no se habla) (1993),4.0,1,-,-,-,-
I Know What You Did Last Summer (1997),3.126984126984127,63,"Sound of Music, The (1965)",M*A*S*H (1970),Jurassic Park (1993),"Time to Kill, A (1996)"
I Like It Like That (1994),2.3333333333333335,3,"Shining, The (1980)",When Harry Met Sally... (1989),Star Trek: The Wrath of Khan (1982),Beauty and the Beast (1991)
I Love Trouble (1994),2.2,5,Amadeus (1984),Quiz Show (1994),Star Trek: The Wrath of Khan (1982),Alien (1979)
I Shot Andy Warhol (1996),3.576923076923077,26,Beauty and the Beast (1991),Rear Window (1954),Gandhi (1982),Conspiracy Theory (1997)
I'll Do Anything (1994),2.75,4,"Fish Called Wanda, A (1988)",Die Hard (1988),Jerry Maguire (1996),It's a Wonderful Life (1946)
I'm Not Rappaport (1996),2.888888888888889,9,In & Out (1997),GoodFellas (1990),Murder at 1600 (1997),"Graduate, The (1967)"
"I, Worst of All (Yo, la peor de todas) (1990)",1.0,1,-,-,-,-
I.Q. (1994),3.317073170731707,41,M*A*S*H (1970),Starship Troopers (1997),Volcano (1997),Mission: Impossible (1996)
"Ice Storm, The (1997)",3.55,60,Top Gun (1986),Twister (1996),Groundhog Day (1993),Mars Attacks! (1996)
If Lucy Fell (1996),2.789473684210526,19,"Fish Called Wanda, A (1988)",True Lies (1994),"Silence of the Lambs, The (1991)",To Kill a Mockingbird (1962)
Ill Gotten Gains (1997),1.0,1,-,-,-,-
Immortal Beloved (1994),3.5348837209302326,43,"Truth About Cats & Dogs, The (1996)",Amadeus (1984),Sense and Sensibility (1995),Leaving Las Vegas (1995)
In & Out (1997),3.3140495867768593,121,It's a Wonderful Life (1946),Aliens (1986),Courage Under Fire (1996),"Sound of Music, The (1965)"
In Love and War (1996),3.6153846153846154,13,Beauty and the Beast (1991),Star Trek IV: The Voyage Home (1986),Die Hard (1988),"Rock, The (1996)"
In the Army Now (1994),2.125,8,Unforgiven (1992),Jaws (1975),"Sound of Music, The (1965)",Amadeus (1984)
In the Bleak Midwinter (1995),3.3333333333333335,6,Monty Python and the Holy Grail (1974),True Lies (1994),Star Trek: First Contact (1996),Toy Story (1995)
In the Company of Men (1997),3.5625,32,Top Gun (1986),Casablanca (1942),Courage Under Fire (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
In the Line of Duty 2 (1987),2.6666666666666665,3,Mission: Impossible (1996),"Princess Bride, The (1987)",Raising Arizona (1987),"Hunt for Red October, The (1990)"
In the Line of Fire (1993),3.869565217391304,92,Lone Star (1996),Dante's Peak (1997),Mrs. Doubtfire (1993),Top Gun (1986)
In the Mouth of Madness (1995),2.9473684210526314,19,Sense and Sensibility (1995),Boogie Nights (1997),"Birdcage, The (1996)",It's a Wonderful Life (1946)
In the Name of the Father (1993),3.816666666666667,60,Raising Arizona (1987),To Kill a Mockingbird (1962),"Shawshank Redemption, The (1994)",Dead Man Walking (1995)
In the Realm of the Senses (Ai no corrida) (1976),2.0,4,"Fifth Element, The (1997)",Sleepless in Seattle (1993),Volcano (1997),Independence Day (ID4) (1996)
Incognito (1997),3.5,6,Boogie Nights (1997),Contact (1997),"Game, The (1997)",Air Force One (1997)
Independence Day (ID4) (1996),3.502415458937198,207,"Game, The (1997)","Time to Kill, A (1996)",Phenomenon (1996),Star Trek III: The Search for Spock (1984)
Indian Summer (1996),3.5454545454545454,11,Dances with Wolves (1990),Four Weddings and a Funeral (1994),"Sound of Music, The (1965)",GoodFellas (1990)
"Indian in the Cupboard, The (1995)",2.888888888888889,18,"Game, The (1997)",Top Gun (1986),Conspiracy Theory (1997),"Time to Kill, A (1996)"
Indiana Jones and the Last Crusade (1989),3.929411764705882,170,Raiders of the Lost Ark (1981),Back to the Future (1985),Eraser (1996),"Time to Kill, A (1996)"
Infinity (1996),2.5,2,Fargo (1996),"Full Monty, The (1997)",Liar Liar (1997),Scream (1996)
"Inkwell, The (1994)",4.0,1,-,-,-,-
"Innocent Sleep, The (1995)",2.0,2,-,-,-,-
"Innocents, The (1961)",4.0,2,-,-,-,-
"Inspector General, The (1949)",3.857142857142857,7,Mrs. Doubtfire (1993),"Truth About Cats & Dogs, The (1996)",Broken Arrow (1996),Seven (Se7en) (1995)
Interview with the Vampire (1994),3.2839506172839505,81,"Game, The (1997)",Indiana Jones and the Last Crusade (1989),Batman (1989),"Birdcage, The (1996)"
Inventing the Abbotts (1997),2.888888888888889,9,Courage Under Fire (1996),"Sting, The (1973)","Lion King, The (1994)",One Flew Over the Cuckoo's Nest (1975)
"Invitation, The (Zaproszenie) (1986)",1.0,1,-,-,-,-
"Island of Dr. Moreau, The (1996)",1.903225806451613,31,M*A*S*H (1970),Stand by Me (1986),Babe (1995),Star Trek IV: The Voyage Home (1986)
It Could Happen to You (1994),3.6296296296296298,27,Casablanca (1942),Phenomenon (1996),"Truth About Cats & Dogs, The (1996)","Usual Suspects, The (1995)"
It Happened One Night (1934),4.108695652173913,46,Mars Attacks! (1996),Face/Off (1997),Ransom (1996),L.A. Confidential (1997)
It's My Party (1995),3.857142857142857,7,Independence Day (ID4) (1996),Twister (1996),"English Patient, The (1996)",Dante's Peak (1997)
It's a Wonderful Life (1946),4.165137614678899,109,In & Out (1997),True Lies (1994),"Sting, The (1973)","Rock, The (1996)"
Jack (1996),3.0,38,Lone Star (1996),"Shining, The (1980)",GoodFellas (1990),To Kill a Mockingbird (1962)
Jack and Sarah (1995),2.25,4,Conspiracy Theory (1997),Courage Under Fire (1996),Dante's Peak (1997),Twister (1996)
"Jackal, The (1997)",3.240740740740741,54,Rear Window (1954),This Is Spinal Tap (1984),"Graduate, The (1967)","Devil's Own, The (1997)"
Jackie Brown (1997),3.6285714285714286,70,Seven (Se7en) (1995),Batman (1989),M*A*S*H (1970),L.A. Confidential (1997)
Jackie Chan's First Strike (1996),3.3194444444444446,72,"Game, The (1997)",Indiana Jones and the Last Crusade (1989),Mighty Aphrodite (1995),"Sound of Music, The (1965)"
Jade (1995),2.1538461538461537,13,This Is Spinal Tap (1984),"Devil's Own, The (1997)","Fish Called Wanda, A (1988)","Hunt for Red October, The (1990)"
James and the Giant Peach (1996),3.0793650793650795,63,Babe (1995),Willy Wonka and the Chocolate Factory (1971),"Godfather, The (1972)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Jane Eyre (1996),3.2413793103448274,29,Speed (1994),In & Out (1997),Mr. Holland's Opus (1995),Starship Troopers (1997)
Jason's Lyric (1994),2.8,5,"Hunt for Red October, The (1990)",Get Shorty (1995),Star Trek IV: The Voyage Home (1986),Quiz Show (1994)
Jaws (1975),3.8493150684931505,146,Butch Cassidy and the Sundance Kid (1969),Aliens (1986),Raiders of the Lost Ark (1981),Back to the Future (1985)
Jaws 2 (1978),2.8292682926829267,41,Murder at 1600 (1997),Evita (1996),Eraser (1996),Jaws (1975)
Jaws 3-D (1983),1.6666666666666667,9,Stand by Me (1986),M*A*S*H (1970),"Sting, The (1973)",Mr. Holland's Opus (1995)
Jean de Florette (1986),4.15625,32,"Saint, The (1997)",Broken Arrow (1996),"Graduate, The (1967)",Quiz Show (1994)
